Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Nedbør (døgn)
Narvik Sentrum;SN84701;07.09.2020;14,5;2,4
Narvik Sentrum;SN84701;08.09.2020;16,2;0
Narvik Sentrum;SN84701;09.09.2020;12;3,4
Narvik Sentrum;SN84701;10.09.2020;11,1;0,4
Narvik Sentrum;SN84701;11.09.2020;9,8;4,1
Narvik Sentrum;SN84701;12.09.2020;12,4;2,2
Narvik Sentrum;SN84701;13.09.2020;13,1;1,2
Narvik Sentrum;SN84701;14.09.2020;11,1;7,8
Narvik Sentrum;SN84701;15.09.2020;10,8;9,6
Narvik Sentrum;SN84701;16.09.2020;10,6;4,5
Narvik Sentrum;SN84701;17.09.2020;8,5;1,4
Narvik Sentrum;SN84701;18.09.2020;10,7;10,2
Narvik Sentrum;SN84701;19.09.2020;8,8;13
Narvik Sentrum;SN84701;20.09.2020;10,7;5,2
Narvik Sentrum;SN84701;21.09.2020;12,3;7,5
Narvik Sentrum;SN84701;22.09.2020;9,7;18,2
Narvik Sentrum;SN84701;23.09.2020;16,2;1,9
Narvik Sentrum;SN84701;24.09.2020;13,8;0
Narvik Sentrum;SN84701;25.09.2020;9,8;5,3
Narvik Sentrum;SN84701;26.09.2020;9,5;3,5
Narvik Sentrum;SN84701;27.09.2020;10,2;0,2
Narvik Sentrum;SN84701;28.09.2020;14,7;0
Narvik Sentrum;SN84701;29.09.2020;15,5;0
Narvik Sentrum;SN84701;30.09.2020;13,2;0
Narvik Sentrum;SN84701;01.10.2020;15,5;0
Narvik Sentrum;SN84701;02.10.2020;16,8;0
Narvik Sentrum;SN84701;03.10.2020;14;0
Narvik Sentrum;SN84701;04.10.2020;14,4;0
Narvik Sentrum;SN84701;05.10.2020;12,9;0
Narvik Sentrum;SN84701;06.10.2020;14,1;0
Narvik Sentrum;SN84701;07.10.2020;14,6;0
Narvik Sentrum;SN84701;08.10.2020;16,2;2,8
Narvik Sentrum;SN84701;09.10.2020;11,8;0
Narvik Sentrum;SN84701;10.10.2020;10,1;2,6
Narvik Sentrum;SN84701;11.10.2020;10,2;4,6
Narvik Sentrum;SN84701;12.10.2020;8,6;0
Narvik Sentrum;SN84701;13.10.2020;7,6;0
Narvik Sentrum;SN84701;14.10.2020;9,1;1,2
