Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
06.01.2023 00:00:00;06.01.2023 01:00:00;197;134;3077;;50;;889;4347
06.01.2023 01:00:00;06.01.2023 02:00:00;197;133;3063;;47;;893;4333
06.01.2023 02:00:00;06.01.2023 03:00:00;197;131;3012;;47;;814;4201
06.01.2023 03:00:00;06.01.2023 04:00:00;197;131;3015;;42;;831;4216
06.01.2023 04:00:00;06.01.2023 05:00:00;197;130;3004;;45;;842;4218
06.01.2023 05:00:00;06.01.2023 06:00:00;198;133;3050;;40;;775;4196
06.01.2023 06:00:00;06.01.2023 07:00:00;198;135;3126;;46;;791;4296
06.01.2023 07:00:00;06.01.2023 08:00:00;198;136;3255;;40;;772;4401
06.01.2023 08:00:00;06.01.2023 09:00:00;196;137;3337;;42;;748;4460
06.01.2023 09:00:00;06.01.2023 10:00:00;198;136;3416;;41;;672;4463
06.01.2023 10:00:00;06.01.2023 11:00:00;198;137;3475;;38;;629;4477
06.01.2023 11:00:00;06.01.2023 12:00:00;198;137;3738;;45;;649;4767
06.01.2023 12:00:00;06.01.2023 13:00:00;198;142;3735;;45;;660;4780
06.01.2023 13:00:00;06.01.2023 14:00:00;198;138;3464;;45;;629;4474
06.01.2023 14:00:00;06.01.2023 15:00:00;198;136;3418;;45;;595;4392
06.01.2023 15:00:00;06.01.2023 16:00:00;199;134;3411;;47;;570;4361
06.01.2023 16:00:00;06.01.2023 17:00:00;200;134;3433;;48;;537;4352
06.01.2023 17:00:00;06.01.2023 18:00:00;200;133;3371;;53;;650;4407
06.01.2023 18:00:00;06.01.2023 19:00:00;200;133;3300;;48;;712;4393
06.01.2023 19:00:00;06.01.2023 20:00:00;203;129;3137;;42;;790;4301
06.01.2023 20:00:00;06.01.2023 21:00:00;203;125;3070;;42;;743;4183
06.01.2023 21:00:00;06.01.2023 22:00:00;202;125;3061;;46;;723;4157
06.01.2023 22:00:00;06.01.2023 23:00:00;204;126;3048;;42;;762;4182
06.01.2023 23:00:00;07.01.2023 00:00:00;204;129;3106;;44;;812;4295
07.01.2023 00:00:00;07.01.2023 01:00:00;203;130;3026;;44;;849;4252
07.01.2023 01:00:00;07.01.2023 02:00:00;203;134;3045;;46;;869;4297
07.01.2023 02:00:00;07.01.2023 03:00:00;203;131;2968;;47;;896;4245
07.01.2023 03:00:00;07.01.2023 04:00:00;203;133;2798;;43;;875;4052
07.01.2023 04:00:00;07.01.2023 05:00:00;203;132;2821;;47;;855;4058
07.01.2023 05:00:00;07.01.2023 06:00:00;202;134;2849;;48;;801;4034
07.01.2023 06:00:00;07.01.2023 07:00:00;202;134;2859;;43;;811;4049
