Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
21.07.2023 23:00:00;22.07.2023 00:00:00;173;169;2676;;32;;148;3198
22.07.2023 00:00:00;22.07.2023 01:00:00;173;149;2658;;31;;138;3149
22.07.2023 01:00:00;22.07.2023 02:00:00;173;142;2301;;36;;163;2815
22.07.2023 02:00:00;22.07.2023 03:00:00;175;142;2066;;35;;195;2613
22.07.2023 03:00:00;22.07.2023 04:00:00;176;143;1996;;29;;199;2543
22.07.2023 04:00:00;22.07.2023 05:00:00;175;142;2000;;22;;202;2541
22.07.2023 05:00:00;22.07.2023 06:00:00;175;140;2003;;35;;209;2562
22.07.2023 06:00:00;22.07.2023 07:00:00;175;138;2292;;31;;201;2837
22.07.2023 07:00:00;22.07.2023 08:00:00;175;138;2614;;33;;196;3156
22.07.2023 08:00:00;22.07.2023 09:00:00;175;158;2710;;32;;180;3255
22.07.2023 09:00:00;22.07.2023 10:00:00;173;159;2791;;30;;153;3306
22.07.2023 10:00:00;22.07.2023 11:00:00;175;157;2824;;28;;145;3329
22.07.2023 11:00:00;22.07.2023 12:00:00;174;134;2825;;28;;126;3287
22.07.2023 12:00:00;22.07.2023 13:00:00;172;130;2704;;22;;106;3134
22.07.2023 13:00:00;22.07.2023 14:00:00;168;130;2629;;26;;102;3055
22.07.2023 14:00:00;22.07.2023 15:00:00;166;134;2038;;27;;141;2506
22.07.2023 15:00:00;22.07.2023 16:00:00;165;134;2283;;27;;151;2760
22.07.2023 16:00:00;22.07.2023 17:00:00;165;135;2858;;30;;153;3341
22.07.2023 17:00:00;22.07.2023 18:00:00;166;133;2895;;31;;174;3399
22.07.2023 18:00:00;22.07.2023 19:00:00;168;134;3028;;30;;174;3534
22.07.2023 19:00:00;22.07.2023 20:00:00;168;133;2973;;26;;171;3471
22.07.2023 20:00:00;22.07.2023 21:00:00;170;129;2722;;26;;167;3214
22.07.2023 21:00:00;22.07.2023 22:00:00;170;128;2876;;29;;155;3358
22.07.2023 22:00:00;22.07.2023 23:00:00;171;127;2865;;35;;149;3347
22.07.2023 23:00:00;23.07.2023 00:00:00;172;129;2789;;23;;161;3274
23.07.2023 00:00:00;23.07.2023 01:00:00;172;139;2464;;25;;180;2980
23.07.2023 01:00:00;23.07.2023 02:00:00;173;139;2458;;22;;165;2957
23.07.2023 02:00:00;23.07.2023 03:00:00;174;138;2323;;27;;154;2816
23.07.2023 03:00:00;23.07.2023 04:00:00;174;137;2220;;23;;149;2703
23.07.2023 04:00:00;23.07.2023 05:00:00;174;137;1545;;34;;150;2040
23.07.2023 05:00:00;23.07.2023 06:00:00;174;137;1447;;49;;157;1964
23.07.2023 06:00:00;23.07.2023 07:00:00;175;139;1463;;34;;140;1951
23.07.2023 07:00:00;23.07.2023 08:00:00;176;140;1390;;27;;126;1859
23.07.2023 08:00:00;23.07.2023 09:00:00;176;142;1286;;15;;112;1731
23.07.2023 09:00:00;23.07.2023 10:00:00;176;144;1291;;14;;106;1731
23.07.2023 10:00:00;23.07.2023 11:00:00;176;144;1326;;28;;125;1799
23.07.2023 11:00:00;23.07.2023 12:00:00;174;143;1322;;21;;151;1811
23.07.2023 12:00:00;23.07.2023 13:00:00;171;143;1320;;23;;154;1811
23.07.2023 13:00:00;23.07.2023 14:00:00;170;143;1213;;24;;138;1688
23.07.2023 14:00:00;23.07.2023 15:00:00;167;141;1258;;28;;116;1710
23.07.2023 15:00:00;23.07.2023 16:00:00;167;141;1276;;37;;102;1723
23.07.2023 16:00:00;23.07.2023 17:00:00;167;140;1451;;37;;93;1888
23.07.2023 17:00:00;23.07.2023 18:00:00;167;144;1947;;27;;104;2389
23.07.2023 18:00:00;23.07.2023 19:00:00;167;150;2674;;25;;104;3120
23.07.2023 19:00:00;23.07.2023 20:00:00;168;153;2896;;24;;99;3340
23.07.2023 20:00:00;23.07.2023 21:00:00;170;155;2922;;28;;91;3366
23.07.2023 21:00:00;23.07.2023 22:00:00;170;156;2918;;26;;64;3334
23.07.2023 22:00:00;23.07.2023 23:00:00;171;158;2915;;27;;60;3331
23.07.2023 23:00:00;24.07.2023 00:00:00;172;156;2820;;26;;60;3234
24.07.2023 00:00:00;24.07.2023 01:00:00;171;157;2650;;38;;67;3083
24.07.2023 01:00:00;24.07.2023 02:00:00;171;160;2718;;34;;60;3143
24.07.2023 02:00:00;24.07.2023 03:00:00;172;160;2692;;31;;54;3109
24.07.2023 03:00:00;24.07.2023 04:00:00;172;159;2499;;32;;64;2926
24.07.2023 04:00:00;24.07.2023 05:00:00;172;157;2604;;33;;52;3018
24.07.2023 05:00:00;24.07.2023 06:00:00;172;154;2572;;39;;55;2992
24.07.2023 06:00:00;24.07.2023 07:00:00;172;152;2718;;34;;65;3141
24.07.2023 07:00:00;24.07.2023 08:00:00;171;150;2808;;28;;73;3230
24.07.2023 08:00:00;24.07.2023 09:00:00;170;168;2973;;24;;70;3405
24.07.2023 09:00:00;24.07.2023 10:00:00;169;165;3080;;24;;66;3504
24.07.2023 10:00:00;24.07.2023 11:00:00;167;165;3137;;19;;59;3547
24.07.2023 11:00:00;24.07.2023 12:00:00;166;165;3123;;29;;52;3535
24.07.2023 12:00:00;24.07.2023 13:00:00;167;164;3064;;22;;48;3465
24.07.2023 13:00:00;24.07.2023 14:00:00;168;167;3072;;23;;55;3485
24.07.2023 14:00:00;24.07.2023 15:00:00;169;166;3024;;26;;76;3461
24.07.2023 15:00:00;24.07.2023 16:00:00;170;165;3051;;27;;64;3477
24.07.2023 16:00:00;24.07.2023 17:00:00;170;165;3025;;25;;67;3452
24.07.2023 17:00:00;24.07.2023 18:00:00;169;165;3063;;24;;83;3504
24.07.2023 18:00:00;24.07.2023 19:00:00;170;163;3154;;23;;79;3589
24.07.2023 19:00:00;24.07.2023 20:00:00;171;163;3163;;24;;74;3595
24.07.2023 20:00:00;24.07.2023 21:00:00;171;162;3107;;24;;66;3530
24.07.2023 21:00:00;24.07.2023 22:00:00;170;168;3083;;26;;56;3503
24.07.2023 22:00:00;24.07.2023 23:00:00;168;168;3123;;26;;60;3545
24.07.2023 23:00:00;25.07.2023 00:00:00;169;165;2951;;24;;59;3368
25.07.2023 00:00:00;25.07.2023 01:00:00;169;142;2969;;49;;46;3375
25.07.2023 01:00:00;25.07.2023 02:00:00;169;142;2879;;46;;50;3286
25.07.2023 02:00:00;25.07.2023 03:00:00;169;138;2894;;30;;53;3284
25.07.2023 03:00:00;25.07.2023 04:00:00;169;136;2800;;32;;71;3208
25.07.2023 04:00:00;25.07.2023 05:00:00;169;137;2631;;32;;73;3042
25.07.2023 05:00:00;25.07.2023 06:00:00;168;135;2794;;26;;74;3197
25.07.2023 06:00:00;25.07.2023 07:00:00;167;133;2764;;25;;67;3156
25.07.2023 07:00:00;25.07.2023 08:00:00;169;153;2603;;26;;68;3019
25.07.2023 08:00:00;25.07.2023 09:00:00;169;154;2811;;31;;61;3226
25.07.2023 09:00:00;25.07.2023 10:00:00;169;152;2837;;30;;58;3246
25.07.2023 10:00:00;25.07.2023 11:00:00;169;155;2715;;32;;53;3124
25.07.2023 11:00:00;25.07.2023 12:00:00;168;160;2520;;14;;39;2901
25.07.2023 12:00:00;25.07.2023 13:00:00;170;149;2850;;10;;31;3210
25.07.2023 13:00:00;25.07.2023 14:00:00;168;149;2853;;9;;33;3212
25.07.2023 14:00:00;25.07.2023 15:00:00;168;149;2765;;9;;41;3132
25.07.2023 15:00:00;25.07.2023 16:00:00;166;151;2477;;8;;43;2845
25.07.2023 16:00:00;25.07.2023 17:00:00;166;149;2549;;20;;42;2926
25.07.2023 17:00:00;25.07.2023 18:00:00;167;150;2887;;27;;41;3272
25.07.2023 18:00:00;25.07.2023 19:00:00;168;151;2870;;28;;48;3265
25.07.2023 19:00:00;25.07.2023 20:00:00;169;152;2881;;29;;43;3274
25.07.2023 20:00:00;25.07.2023 21:00:00;165;151;2816;;28;;73;3233
25.07.2023 21:00:00;25.07.2023 22:00:00;166;153;2892;;26;;94;3331
25.07.2023 22:00:00;25.07.2023 23:00:00;171;161;2813;;28;;98;3271
25.07.2023 23:00:00;26.07.2023 00:00:00;169;159;2632;;29;;117;3106
26.07.2023 00:00:00;26.07.2023 01:00:00;160;138;2653;;41;;105;3097
26.07.2023 01:00:00;26.07.2023 02:00:00;160;138;2672;;41;;93;3104
26.07.2023 02:00:00;26.07.2023 03:00:00;171;137;2668;;24;;93;3093
26.07.2023 03:00:00;26.07.2023 04:00:00;175;135;2681;;25;;113;3129
26.07.2023 04:00:00;26.07.2023 05:00:00;174;133;2695;;27;;94;3123
26.07.2023 05:00:00;26.07.2023 06:00:00;174;133;2722;;26;;71;3126
26.07.2023 06:00:00;26.07.2023 07:00:00;173;131;2792;;23;;56;3175
26.07.2023 07:00:00;26.07.2023 08:00:00;173;131;2960;;25;;37;3326
26.07.2023 08:00:00;26.07.2023 09:00:00;172;152;3022;;26;;29;3401
26.07.2023 09:00:00;26.07.2023 10:00:00;170;151;2974;;24;;24;3343
26.07.2023 10:00:00;26.07.2023 11:00:00;169;150;2952;;23;;15;3309
26.07.2023 11:00:00;26.07.2023 12:00:00;168;150;2908;;11;;13;3250
26.07.2023 12:00:00;26.07.2023 13:00:00;168;150;2914;;23;;17;3272
26.07.2023 13:00:00;26.07.2023 14:00:00;168;149;2947;;22;;16;3302
26.07.2023 14:00:00;26.07.2023 15:00:00;168;149;2866;;23;;19;3225
26.07.2023 15:00:00;26.07.2023 16:00:00;166;149;2942;;30;;22;3309
26.07.2023 16:00:00;26.07.2023 17:00:00;166;149;2939;;24;;24;3302
26.07.2023 17:00:00;26.07.2023 18:00:00;166;148;2910;;26;;26;3276
26.07.2023 18:00:00;26.07.2023 19:00:00;166;148;2949;;27;;26;3316
26.07.2023 19:00:00;26.07.2023 20:00:00;179;135;3071;;26;;23;3434
26.07.2023 20:00:00;26.07.2023 21:00:00;202;134;3079;;25;;21;3461
26.07.2023 21:00:00;26.07.2023 22:00:00;202;131;3059;;28;;25;3445
26.07.2023 22:00:00;26.07.2023 23:00:00;203;129;3021;;30;;28;3411
26.07.2023 23:00:00;27.07.2023 00:00:00;203;128;2967;;31;;30;3359
27.07.2023 00:00:00;27.07.2023 01:00:00;204;129;2921;;42;;25;3321
27.07.2023 01:00:00;27.07.2023 02:00:00;204;130;2988;;44;;17;3383
27.07.2023 02:00:00;27.07.2023 03:00:00;204;128;2958;;28;;25;3343
27.07.2023 03:00:00;27.07.2023 04:00:00;203;126;2913;;30;;29;3301
27.07.2023 04:00:00;27.07.2023 05:00:00;203;125;2766;;28;;29;3151
27.07.2023 05:00:00;27.07.2023 06:00:00;202;124;2764;;27;;27;3144
27.07.2023 06:00:00;27.07.2023 07:00:00;202;122;2839;;25;;28;3216
27.07.2023 07:00:00;27.07.2023 08:00:00;200;123;2944;;26;;23;3316
27.07.2023 08:00:00;27.07.2023 09:00:00;198;123;3028;;28;;22;3399
27.07.2023 09:00:00;27.07.2023 10:00:00;197;123;3046;;32;;16;3414
27.07.2023 10:00:00;27.07.2023 11:00:00;197;125;2910;;26;;14;3272
27.07.2023 11:00:00;27.07.2023 12:00:00;198;124;2926;;17;;14;3279
27.07.2023 12:00:00;27.07.2023 13:00:00;198;123;2941;;24;;18;3304
27.07.2023 13:00:00;27.07.2023 14:00:00;198;123;2948;;27;;23;3319
27.07.2023 14:00:00;27.07.2023 15:00:00;198;124;2909;;20;;26;3277
27.07.2023 15:00:00;27.07.2023 16:00:00;197;124;2901;;27;;58;3307
27.07.2023 16:00:00;27.07.2023 17:00:00;197;124;2885;;27;;36;3269
27.07.2023 17:00:00;27.07.2023 18:00:00;197;124;2904;;27;;24;3276
27.07.2023 18:00:00;27.07.2023 19:00:00;197;124;2918;;30;;29;3298
27.07.2023 19:00:00;27.07.2023 20:00:00;197;129;2979;;28;;21;3354
27.07.2023 20:00:00;27.07.2023 21:00:00;198;128;2941;;29;;21;3317
27.07.2023 21:00:00;27.07.2023 22:00:00;198;127;2955;;26;;20;3326
27.07.2023 22:00:00;27.07.2023 23:00:00;198;127;2922;;26;;19;3292
27.07.2023 23:00:00;28.07.2023 00:00:00;197;125;2875;;27;;14;3238
28.07.2023 00:00:00;28.07.2023 01:00:00;198;124;2793;;38;;9;3162
28.07.2023 01:00:00;28.07.2023 02:00:00;199;128;2809;;41;;7;3184
28.07.2023 02:00:00;28.07.2023 03:00:00;199;127;2814;;26;;11;3177
28.07.2023 03:00:00;28.07.2023 04:00:00;198;123;2802;;24;;10;3157
28.07.2023 04:00:00;28.07.2023 05:00:00;198;123;2754;;26;;12;3113
28.07.2023 05:00:00;28.07.2023 06:00:00;198;124;2750;;22;;12;3106
28.07.2023 06:00:00;28.07.2023 07:00:00;197;123;2808;;21;;11;3160
28.07.2023 07:00:00;28.07.2023 08:00:00;198;127;2806;;25;;12;3168
28.07.2023 08:00:00;28.07.2023 09:00:00;197;128;2887;;29;;12;3253
28.07.2023 09:00:00;28.07.2023 10:00:00;198;124;2926;;26;;11;3285
28.07.2023 10:00:00;28.07.2023 11:00:00;198;120;2950;;22;;10;3300
28.07.2023 11:00:00;28.07.2023 12:00:00;198;115;3000;;14;;12;3339
28.07.2023 12:00:00;28.07.2023 13:00:00;198;116;2917;;20;;15;3266
28.07.2023 13:00:00;28.07.2023 14:00:00;198;118;2832;;20;;25;3193
28.07.2023 14:00:00;28.07.2023 15:00:00;198;119;2770;;20;;36;3143
28.07.2023 15:00:00;28.07.2023 16:00:00;198;118;2732;;27;;58;3133
28.07.2023 16:00:00;28.07.2023 17:00:00;197;118;2745;;21;;55;3136
28.07.2023 17:00:00;28.07.2023 18:00:00;197;117;2755;;24;;32;3125
28.07.2023 18:00:00;28.07.2023 19:00:00;197;125;2754;;25;;28;3129
28.07.2023 19:00:00;28.07.2023 20:00:00;196;130;2725;;26;;34;3111
28.07.2023 20:00:00;28.07.2023 21:00:00;196;138;2745;;25;;39;3143
28.07.2023 21:00:00;28.07.2023 22:00:00;196;138;2749;;26;;42;3151
28.07.2023 22:00:00;28.07.2023 23:00:00;196;132;2745;;27;;26;3126
28.07.2023 23:00:00;29.07.2023 00:00:00;196;129;2468;;28;;21;2842
29.07.2023 00:00:00;29.07.2023 01:00:00;197;121;1745;;27;;17;2107
29.07.2023 01:00:00;29.07.2023 02:00:00;197;120;1592;;32;;22;1963
29.07.2023 02:00:00;29.07.2023 03:00:00;198;120;1359;;33;;21;1731
29.07.2023 03:00:00;29.07.2023 04:00:00;197;120;1289;;27;;22;1655
29.07.2023 04:00:00;29.07.2023 05:00:00;198;119;1265;;21;;29;1632
29.07.2023 05:00:00;29.07.2023 06:00:00;198;119;1296;;33;;33;1679
29.07.2023 06:00:00;29.07.2023 07:00:00;197;121;1344;;31;;45;1738
29.07.2023 07:00:00;29.07.2023 08:00:00;197;122;1466;;31;;45;1861
29.07.2023 08:00:00;29.07.2023 09:00:00;197;120;1900;;32;;49;2298
29.07.2023 09:00:00;29.07.2023 10:00:00;197;124;2600;;29;;69;3019
29.07.2023 10:00:00;29.07.2023 11:00:00;197;119;2746;;26;;80;3168
29.07.2023 11:00:00;29.07.2023 12:00:00;197;119;2812;;24;;85;3237
29.07.2023 12:00:00;29.07.2023 13:00:00;197;119;2813;;19;;83;3231
29.07.2023 13:00:00;29.07.2023 14:00:00;197;121;2654;;24;;95;3091
29.07.2023 14:00:00;29.07.2023 15:00:00;197;124;1522;;24;;113;1980
29.07.2023 15:00:00;29.07.2023 16:00:00;198;124;1439;;26;;122;1909
29.07.2023 16:00:00;29.07.2023 17:00:00;198;120;2063;;27;;109;2517
29.07.2023 17:00:00;29.07.2023 18:00:00;198;119;2592;;26;;127;3062
29.07.2023 18:00:00;29.07.2023 19:00:00;197;119;2661;;25;;123;3125
29.07.2023 19:00:00;29.07.2023 20:00:00;197;119;2748;;23;;102;3189
29.07.2023 20:00:00;29.07.2023 21:00:00;197;121;2758;;24;;101;3201
29.07.2023 21:00:00;29.07.2023 22:00:00;197;126;2787;;28;;115;3253
29.07.2023 22:00:00;29.07.2023 23:00:00;197;122;2789;;30;;110;3248
29.07.2023 23:00:00;30.07.2023 00:00:00;197;121;2670;;18;;112;3118
30.07.2023 00:00:00;30.07.2023 01:00:00;197;118;2659;;20;;106;3100
30.07.2023 01:00:00;30.07.2023 02:00:00;197;118;2740;;22;;124;3201
30.07.2023 02:00:00;30.07.2023 03:00:00;197;118;2714;;22;;173;3224
30.07.2023 03:00:00;30.07.2023 04:00:00;197;118;2690;;20;;171;3196
30.07.2023 04:00:00;30.07.2023 05:00:00;197;117;2675;;33;;168;3190
30.07.2023 05:00:00;30.07.2023 06:00:00;197;115;2685;;59;;139;3195
30.07.2023 06:00:00;30.07.2023 07:00:00;197;116;2671;;43;;125;3152
30.07.2023 07:00:00;30.07.2023 08:00:00;197;119;2759;;41;;105;3221
30.07.2023 08:00:00;30.07.2023 09:00:00;197;118;2825;;31;;85;3256
30.07.2023 09:00:00;30.07.2023 10:00:00;196;115;1448;;30;;77;1866
30.07.2023 10:00:00;30.07.2023 11:00:00;196;112;1230;;39;;67;1644
30.07.2023 11:00:00;30.07.2023 12:00:00;196;111;1199;;35;;56;1597
30.07.2023 12:00:00;30.07.2023 13:00:00;197;111;1170;;36;;43;1557
30.07.2023 13:00:00;30.07.2023 14:00:00;196;111;1171;;37;;35;1550
30.07.2023 14:00:00;30.07.2023 15:00:00;197;113;1231;;35;;39;1615
30.07.2023 15:00:00;30.07.2023 16:00:00;198;113;1248;;39;;54;1652
30.07.2023 16:00:00;30.07.2023 17:00:00;198;112;1307;;29;;40;1686
30.07.2023 17:00:00;30.07.2023 18:00:00;198;112;1653;;14;;36;2013
30.07.2023 18:00:00;30.07.2023 19:00:00;198;114;2699;;19;;42;3072
30.07.2023 19:00:00;30.07.2023 20:00:00;198;115;2860;;20;;44;3237
30.07.2023 20:00:00;30.07.2023 21:00:00;197;118;2983;;21;;41;3360
30.07.2023 21:00:00;30.07.2023 22:00:00;198;118;2943;;21;;77;3357
30.07.2023 22:00:00;30.07.2023 23:00:00;199;118;2795;;22;;87;3221
30.07.2023 23:00:00;31.07.2023 00:00:00;198;122;2747;;25;;129;3221
31.07.2023 00:00:00;31.07.2023 01:00:00;196;120;2719;;33;;141;3209
31.07.2023 01:00:00;31.07.2023 02:00:00;198;119;2675;;26;;135;3153
31.07.2023 02:00:00;31.07.2023 03:00:00;200;119;2676;;27;;132;3154
31.07.2023 03:00:00;31.07.2023 04:00:00;201;119;2673;;29;;175;3197
31.07.2023 04:00:00;31.07.2023 05:00:00;202;119;2695;;31;;222;3269
31.07.2023 05:00:00;31.07.2023 06:00:00;203;118;2693;;39;;244;3297
31.07.2023 06:00:00;31.07.2023 07:00:00;199;118;2661;;35;;244;3257
31.07.2023 07:00:00;31.07.2023 08:00:00;198;123;2642;;32;;285;3280
31.07.2023 08:00:00;31.07.2023 09:00:00;198;136;2738;;27;;266;3365
31.07.2023 09:00:00;31.07.2023 10:00:00;198;137;2875;;25;;257;3492
31.07.2023 10:00:00;31.07.2023 11:00:00;199;138;2794;;18;;233;3382
31.07.2023 11:00:00;31.07.2023 12:00:00;201;138;2742;;26;;232;3339
31.07.2023 12:00:00;31.07.2023 13:00:00;200;138;2635;;20;;260;3253
31.07.2023 13:00:00;31.07.2023 14:00:00;202;140;2560;;21;;242;3165
31.07.2023 14:00:00;31.07.2023 15:00:00;201;146;2576;;25;;211;3159
31.07.2023 15:00:00;31.07.2023 16:00:00;199;143;2554;;29;;186;3111
31.07.2023 16:00:00;31.07.2023 17:00:00;198;141;2524;;22;;147;3032
31.07.2023 17:00:00;31.07.2023 18:00:00;193;141;2651;;22;;177;3184
31.07.2023 18:00:00;31.07.2023 19:00:00;194;143;2744;;21;;257;3359
31.07.2023 19:00:00;31.07.2023 20:00:00;194;142;2573;;22;;350;3281
31.07.2023 20:00:00;31.07.2023 21:00:00;195;145;2553;;26;;412;3331
31.07.2023 21:00:00;31.07.2023 22:00:00;196;147;2537;;29;;539;3448
31.07.2023 22:00:00;31.07.2023 23:00:00;197;143;2513;;0;;514;3367
31.07.2023 23:00:00;01.08.2023 00:00:00;196;142;2397;;22;;502;3259
01.08.2023 00:00:00;01.08.2023 01:00:00;196;122;2318;;46;;447;3129
01.08.2023 01:00:00;01.08.2023 02:00:00;194;124;2181;;49;;478;3026
01.08.2023 02:00:00;01.08.2023 03:00:00;192;124;2127;;32;;496;2971
01.08.2023 03:00:00;01.08.2023 04:00:00;191;122;2169;;33;;467;2982
01.08.2023 04:00:00;01.08.2023 05:00:00;191;122;2348;;33;;466;3160
01.08.2023 05:00:00;01.08.2023 06:00:00;192;125;2361;;29;;491;3198
01.08.2023 06:00:00;01.08.2023 07:00:00;192;123;2371;;28;;446;3160
01.08.2023 07:00:00;01.08.2023 08:00:00;192;125;2546;;41;;410;3314
01.08.2023 08:00:00;01.08.2023 09:00:00;192;125;2535;;57;;379;3288
01.08.2023 09:00:00;01.08.2023 10:00:00;192;127;2507;;54;;355;3235
01.08.2023 10:00:00;01.08.2023 11:00:00;194;128;2502;;51;;314;3189
01.08.2023 11:00:00;01.08.2023 12:00:00;194;120;2550;;42;;307;3213
01.08.2023 12:00:00;01.08.2023 13:00:00;194;109;2499;;55;;336;3193
01.08.2023 13:00:00;01.08.2023 14:00:00;194;124;2331;;41;;367;3057
01.08.2023 14:00:00;01.08.2023 15:00:00;194;128;2030;;37;;270;2659
01.08.2023 15:00:00;01.08.2023 16:00:00;194;128;1835;;44;;289;2490
01.08.2023 16:00:00;01.08.2023 17:00:00;194;131;2262;;37;;323;2947
01.08.2023 17:00:00;01.08.2023 18:00:00;195;130;2342;;30;;336;3033
01.08.2023 18:00:00;01.08.2023 19:00:00;195;134;2667;;33;;282;3311
01.08.2023 19:00:00;01.08.2023 20:00:00;194;134;2739;;35;;280;3382
01.08.2023 20:00:00;01.08.2023 21:00:00;194;136;2663;;32;;349;3374
01.08.2023 21:00:00;01.08.2023 22:00:00;194;136;2464;;30;;434;3258
01.08.2023 22:00:00;01.08.2023 23:00:00;195;133;2451;;33;;411;3223
01.08.2023 23:00:00;02.08.2023 00:00:00;195;137;2386;;34;;386;3138
02.08.2023 00:00:00;02.08.2023 01:00:00;195;142;2304;;45;;455;3141
02.08.2023 01:00:00;02.08.2023 02:00:00;194;141;2343;;53;;459;3190
02.08.2023 02:00:00;02.08.2023 03:00:00;195;131;2347;;37;;445;3155
02.08.2023 03:00:00;02.08.2023 04:00:00;194;128;2496;;32;;462;3312
02.08.2023 04:00:00;02.08.2023 05:00:00;194;126;2340;;34;;471;3165
02.08.2023 05:00:00;02.08.2023 06:00:00;194;127;2250;;30;;487;3088
02.08.2023 06:00:00;02.08.2023 07:00:00;195;125;2150;;29;;481;2980
02.08.2023 07:00:00;02.08.2023 08:00:00;195;125;2496;;30;;439;3285
02.08.2023 08:00:00;02.08.2023 09:00:00;195;121;2618;;33;;452;3419
02.08.2023 09:00:00;02.08.2023 10:00:00;195;121;2562;;30;;432;3340
02.08.2023 10:00:00;02.08.2023 11:00:00;195;122;2573;;29;;373;3292
02.08.2023 11:00:00;02.08.2023 12:00:00;195;123;2582;;21;;349;3270
02.08.2023 12:00:00;02.08.2023 13:00:00;195;122;2450;;26;;359;3152
02.08.2023 13:00:00;02.08.2023 14:00:00;195;121;2045;;27;;299;2687
02.08.2023 14:00:00;02.08.2023 15:00:00;194;121;1771;;29;;250;2365
02.08.2023 15:00:00;02.08.2023 16:00:00;194;121;1694;;38;;223;2270
02.08.2023 16:00:00;02.08.2023 17:00:00;194;137;1937;;33;;221;2522
02.08.2023 17:00:00;02.08.2023 18:00:00;195;144;2450;;32;;192;3013
02.08.2023 18:00:00;02.08.2023 19:00:00;196;146;2341;;32;;209;2924
02.08.2023 19:00:00;02.08.2023 20:00:00;197;150;2261;;33;;289;2930
02.08.2023 20:00:00;02.08.2023 21:00:00;196;155;2023;;33;;395;2802
02.08.2023 21:00:00;02.08.2023 22:00:00;195;169;1745;;31;;390;2530
02.08.2023 22:00:00;02.08.2023 23:00:00;194;172;1906;;34;;297;2603
02.08.2023 23:00:00;03.08.2023 00:00:00;194;179;1689;;36;;275;2373
03.08.2023 00:00:00;03.08.2023 01:00:00;193;159;1156;;47;;382;1937
03.08.2023 01:00:00;03.08.2023 02:00:00;193;162;1141;;50;;514;2060
03.08.2023 02:00:00;03.08.2023 03:00:00;194;161;1114;;35;;563;2067
03.08.2023 03:00:00;03.08.2023 04:00:00;194;161;1091;;37;;512;1995
03.08.2023 04:00:00;03.08.2023 05:00:00;195;161;1099;;37;;470;1962
03.08.2023 05:00:00;03.08.2023 06:00:00;195;161;1191;;32;;471;2050
03.08.2023 06:00:00;03.08.2023 07:00:00;194;161;1737;;30;;477;2599
03.08.2023 07:00:00;03.08.2023 08:00:00;196;168;2466;;32;;490;3352
03.08.2023 08:00:00;03.08.2023 09:00:00;195;191;2492;;37;;483;3398
03.08.2023 09:00:00;03.08.2023 10:00:00;192;193;2452;;34;;531;3402
03.08.2023 10:00:00;03.08.2023 11:00:00;194;202;2385;;31;;668;3480
03.08.2023 11:00:00;03.08.2023 12:00:00;196;201;2300;;25;;723;3445
03.08.2023 12:00:00;03.08.2023 13:00:00;195;203;2311;;30;;725;3464
03.08.2023 13:00:00;03.08.2023 14:00:00;196;206;2341;;29;;696;3468
03.08.2023 14:00:00;03.08.2023 15:00:00;195;207;2096;;31;;656;3185
03.08.2023 15:00:00;03.08.2023 16:00:00;194;213;2097;;36;;628;3168
03.08.2023 16:00:00;03.08.2023 17:00:00;193;213;2267;;28;;561;3262
03.08.2023 17:00:00;03.08.2023 18:00:00;191;212;2329;;27;;453;3212
03.08.2023 18:00:00;03.08.2023 19:00:00;191;207;2253;;29;;411;3091
03.08.2023 19:00:00;03.08.2023 20:00:00;192;203;2372;;28;;371;3166
03.08.2023 20:00:00;03.08.2023 21:00:00;194;200;2456;;25;;369;3244
03.08.2023 21:00:00;03.08.2023 22:00:00;195;197;2466;;7;;361;3226
03.08.2023 22:00:00;03.08.2023 23:00:00;196;197;2511;;8;;270;3182
03.08.2023 23:00:00;04.08.2023 00:00:00;195;196;2499;;9;;256;3155
04.08.2023 00:00:00;04.08.2023 01:00:00;196;174;2238;;12;;297;2917
04.08.2023 01:00:00;04.08.2023 02:00:00;196;173;1874;;13;;253;2509
04.08.2023 02:00:00;04.08.2023 03:00:00;196;171;1718;;7;;244;2336
04.08.2023 03:00:00;04.08.2023 04:00:00;196;169;1598;;8;;253;2224
04.08.2023 04:00:00;04.08.2023 05:00:00;196;168;1561;;9;;262;2196
04.08.2023 05:00:00;04.08.2023 06:00:00;196;168;1659;;8;;212;2243
04.08.2023 06:00:00;04.08.2023 07:00:00;196;168;2158;;8;;206;2736
04.08.2023 07:00:00;04.08.2023 08:00:00;198;166;2587;;8;;154;3113
04.08.2023 08:00:00;04.08.2023 09:00:00;197;185;2672;;9;;114;3177
04.08.2023 09:00:00;04.08.2023 10:00:00;198;183;2722;;9;;100;3212
04.08.2023 10:00:00;04.08.2023 11:00:00;197;180;2688;;9;;129;3203
04.08.2023 11:00:00;04.08.2023 12:00:00;197;175;2693;;10;;144;3219
04.08.2023 12:00:00;04.08.2023 13:00:00;196;174;2708;;9;;171;3258
04.08.2023 13:00:00;04.08.2023 14:00:00;197;175;2672;;9;;239;3292
04.08.2023 14:00:00;04.08.2023 15:00:00;196;172;2619;;9;;265;3261
04.08.2023 15:00:00;04.08.2023 16:00:00;197;172;2628;;10;;236;3243
04.08.2023 16:00:00;04.08.2023 17:00:00;196;173;2598;;10;;260;3237
